A1_ 1,A1_ 2,A1_ 3,A1_ 4,A1_ 5,A1_ 6,A1_ 7,A1_ 8,A1_ 9,A1_10,b1
0.538342435260057,0.0844358455109103,0.869292207640089,0.239916153553658,0.337719409821377,0.942050590775485,0.649115474956452,0.368484596490336,0.508508655381127,0.875942811492984,5.45167565930474
0.996134716626885,0.399782649098896,0.57970458736557,0.123318934835166,0.900053846417662,0.956134540229802,0.73172238565867,0.62561856072969,0.51077156417211,0.550156342898422,6.49331966613972
0.0781755287531837,0.259870402850654,0.549860201836332,0.183907788282417,0.369246781120215,0.575208595078466,0.647745963136307,0.780227435151377,0.817627708322262,0.622475086001227,4.86342677301291
0.442678269775446,0.800068480224308,0.144954798223727,0.239952525664903,0.111202755293787,0.0597795429471558,0.450923706430945,0.0811257688657853,0.794831416883453,0.587044704531417,3.72268383159863
0.106652770180584,0.431413827463545,0.853031117721894,0.41726706908437,0.780252068321138,0.234779913372406,0.547008892286345,0.92938597096873,0.644318130193692,0.207742292733028,5.15417009823816
0.961898080855054,0.910647594429523,0.622055131485066,0.0496544303257421,0.389738836961253,0.353158571222071,0.296320805607773,0.775712678608402,0.378609382660268,0.301246330279491,5.12203543234099
0.00463422413406744,0.181847028302852,0.350952380892271,0.902716109915281,0.241691285913833,0.821194040197959,0.744692807074156,0.486791632403172,0.811580458282477,0.470923348517591,4.99550187854504
0.774910464711502,0.26380291652199,0.513249539867053,0.944787189721646,0.403912145588115,0.0154034376515551,0.188955015032545,0.435858588580919,0.532825588799455,0.230488160211558,4.36224309738882
0.817303220653433,0.145538980384717,0.401808033751942,0.49086409246808,0.0964545251683886,0.0430238016578078,0.686775433365315,0.446783749429806,0.350727103576883,0.844308792695389,4.38582308688427
0.86869470536351,0.136068558708664,0.0759666916908419,0.489252638400019,0.131973292606335,0.168990029462704,0.18351115573727,0.306349472016557,0.939001561999887,0.194764289567049,3.53992010457923
